1,Shopper upcycling,5.00
2,Monogramma,3.50
3,Coppia lettere UNICA,4.00
4,Sportina con tasca,2.00
5,Etichetta solo nome,8.00
6,Scritte grandi,5.50
7,ricamo guzzo,2.00
